id,product,keywords,pattern,section_order,style_priority,palette_priority,font_priority,key_effects,anti_patterns,severity
education,Education / Learning,"education,course,learning,school,training,lms,student",Hero + Curriculum + Outcomes + Enroll,"Hero,Outcomes,Curriculum,Instructors,Testimonials,Enroll","soft-organic,flat-modern,high-contrast-a11y","forest-calm,clinical-blue,neutral-light","jakarta-figtree,sourceserif-publicsans,outfit-dmsans","progress indicators,clear chunking,friendly illustration","wall-of-text curriculum,hidden pricing,inaccessible video without captions",MEDIUM
wellness,Wellness / Fitness,"wellness,fitness,yoga,mindfulness,nutrition,self care",Calm hero + Program + Community,"Hero,Philosophy,Programs,Coaches,Testimonials,Join","soft-organic,premium-minimal","forest-calm,neutral-light,rose-consumer","fraunces-worksans,jakarta-figtree","soft gradients,gentle eased motion,breathing-space layout","aggressive before/after imagery,shaming copy,pastel text failing contrast",MEDIUM
nonprofit,Non-profit / Cause,"nonprofit,charity,cause,ngo,donate,volunteer,impact",Story hero + Impact + Donate,"Hero,The problem,Impact numbers,Stories,Donate,Transparency","high-contrast-a11y,editorial,soft-organic","forest-calm,contrast-max,ink-warm","sourceserif-publicsans,fraunces-worksans","impact counters,story-led imagery,prominent donate CTA","guilt-driven dark patterns,unclear fund allocation,donate flow with many steps",HIGH
gov-public,Government / Public Service,"government,public,civic,municipal,council,service,benefits",Task-first with plain language,"Search,Top tasks,Service detail,Eligibility,Apply,Contact","high-contrast-a11y,swiss","contrast-max,slate-pro,clinical-blue","sourceserif-publicsans,archivo-roboto-mono","obvious focus states,large targets,plain-language summaries","decorative motion,jargon,PDF-only information,color-only status",HIGH
ai-product,AI Product,"ai,llm,agent,machine learning,copilot,assistant,model",Hero + Live demo + Capability + Trust,"Hero,Live demo,Capabilities,Model/limits,Security,CTA","dark-technical,premium-minimal,bento-grid","midnight-dev,carbon-dark,violet-creative","space-ibmplex,satoshi-general","streaming text reveal,live demo,subtle glow","implying capabilities the model lacks,hiding cost or limits,fake streaming,no failure state",HIGH
mobile-consumer,Mobile Consumer App,"mobile app,ios,android,consumer,app store,native",App hero + Screens + Download,"Hero,Screens,Features,Reviews,Download","soft-organic,flat-modern,bento-grid","rose-consumer,teal-product,neutral-light","jakarta-figtree,outfit-dmsans","device mockups,swipeable screens,thumb-zone CTAs","desktop-first layout,44px-minimum violations,hover-dependent interactions",HIGH
gaming-entertainment,Gaming / Entertainment,"gaming,game,entertainment,music,streaming,esports,event",Spectacle hero + Media + Community,"Hero,Trailer,Features,Community,Editions,Buy","retro-future,brutalism,dark-technical","neon-retro,carbon-dark,mono-brutal","clash-switzer,space-ibmplex","signature WebGL or video hero,parallax,bold transitions","unmuted autoplay,motion with no reduced-motion path,neon text failing contrast,heavy hero blocking first paint",MEDIUM
events-launch,Event / Product Launch,"event,launch,conference,webinar,announcement,waitlist",Countdown hero + Agenda + Register,"Hero,Date/countdown,Agenda,Speakers,Venue,Register","brutalism,retro-future,premium-minimal","mono-brutal,violet-creative,neon-retro","clash-switzer,satoshi-general","countdown,marquee,bold reveal","countdown that keeps resetting,unclear timezone,register flow behind a login",MEDIUM
food-hospitality,Food / Hospitality,"restaurant,cafe,hotel,food,menu,booking,hospitality",Imagery hero + Menu + Book,"Hero,Story,Menu,Gallery,Location,Book","soft-organic,editorial,premium-minimal","amber-craft,ink-warm,forest-calm","fraunces-worksans,playfair-lora","warm photography,menu typography,sticky book CTA","menu as an image or PDF only,missing hours/location,slow uncompressed photos",MEDIUM
internal-tool,Internal Tool,"internal,tool,ops,operations,back office,workflow,utility",Function-first minimal chrome,"Nav,Task list,Detail,Actions,Audit","data-dense,flat-modern","neutral-light,slate-pro,carbon-dark","inter-jetbrains,system-native","keyboard-first,dense tables,inline status","marketing polish over usability,animation that slows operators,hiding destructive actions",LOW
